SAP_TABLE_NAME,SAP_TABLE_DESCRIPTION
BSE_CLR_ASGMT,Doc. Segment Add. Data: Clearing Info with Acct Assignment
CEPC_BUKRS,Assignment of Profit Centers to a Company Code
T005U,Taxes: Region Key: Texts
TB004T,BP Types: Texts
TIV2F,Text table for Real Estate Contract Type (table TIV26)
VIBDPR,Land
VIBDROOCC,Occupancy History
ADR10,Printer (Business Address Services)
ADR3,Fax Numbers (Business Address Services)
ESSR,Service Entry Sheet Header Data
IHPA,Plant Maintenance: Partners
JEST,Individual Object Status
QPGR,Inspection catalog code groups
DRAW,Document Info Record
KNVK,Customer Master Contact Partner
KNVP,Customer Master Partner Functions
QPMK,Inspection characteristic master
QPAC,Inspection catalog codes for selected sets
VBUK,Sales Document: Header Status and Administrative Data
BUT052,BP Relationship: Addresses
KONDN,Conditions: Free goods - Data section
KONM,Conditions (1-Dimensional Quantity Scale)
MDMA,MRP Area for Material
PLWP,Allocation of maintenance packages to task list operations
VISRREPORT,Sales Report
VISRTMSBRPI,Assignment of Reporting Rule to Sales Rule (Grading)
VITMNT,Notice Term
VITMWT,Term: Withholding Tax
DD07T,DD: Texts for Domain Fixed Values (Language-Dependent)
CUXREF,Object Dependency Cross References
EORD,Purchasing Source List
SKA1,G/L Account Master (Chart of Accounts)
TPST,Link Between Functional Location and BOM
VICDCONDCALC,Conditions - Calculation Factors and Condition Amounts
ANLC,Asset Value Fields
BFO_A_RA,Versions for Resetting Cleared Items
BGMKOBJ,Master Warranty - Object Assignment
CAWN,Characteristic values
COBRB,Distribution Rules Settlement Rule Order Settlement
CRVE_A,Assignment PRT data - equipment
CRVM_A,Link of PRT data to a material
EKBE,History per Purchasing Document
EKBZ,History per Purchasing Document: Delivery Costs
EKES,Vendor Confirmations
EKPA,Partner Roles in Purchasing
KAPE,Capacity unit of measure allocation
SOFFPHIO,SOFF: Instances of Physical Information Objects
AFRU,Order Confirmations
AUFK,Order master data
BP1012,Ratings
CABNT,Characteristic Descriptions
EAPL,Allocation of task lists to pieces of equipment
FAGLFLEXT,General Ledger: Totals
LFA1,Vendor Master (General Section)
LFAS,Vendor master (VAT registration numbers general section)
LFBK,Vendor Master (Bank Details)
LFC3,Vendor master (special G/L transaction figures)
TCLA,Class Types
CRFH,CIM production resource/tool master data
CSKT,Cost Center Texts
CUCO,Additional Data for Configurable Objects
EKPV,Shipping Data For Stock Transfer of Purchasing Document Item
MKPF,Header: Material Document
CDPOS,Change document items
ILOA,PM Object Location and Account Assignment
T001K,Valuation area
TB002,BP grouping: Texts
TOA03,Link table 3
UKMBP_CMS,SAP Credit Management: Credit Master Data for Partner
VIBDBU,Building
VIBDRO,Rental Object
ADR9,RFC Destinations (Business Address Services)
COEJ,CO Object: Line Items (by Fiscal Year)
LAGP,Storage bins
MAPR,Material Index for Forecast
PLFL,Task list - sequences
TIBAN,IBAN
KNVV,Customer Master Sales Data
MHIO,Call Object from Maintenance Order
PKHD,Control Cycle
QMTT,Inspection Method Texts
AGKO,Cleared Accounts
BUT001,BP: General data II
BUT0BANK,Business Partner: Bank Data
DMS_PH_PROP_HD1,DVS: Attribute PHIOS (additional files)
KONDD,Material Substitution - Data Division
KONW,Conditions (1-Dimensional Value Scale)
VISCMPSUBOBJ,Subordinate Objects of Meter
VISRTMMSBSB,Assignment of a Sales Rule to a Peak Sales Rule
VISRTMRP,Reporting Rule
VISRTMRPRH,Assignment of Frequency Rule to Reporting Rule
VISRTMSB,Sales Rule
VITMOBJREL,Object Assignment
VITMPY,Term: Posting Rule
